# time(ps) 	kappa_ee_mean	kappa_ee_upper	kappa_ee_lower
1.420000e-01	1.985196e+00	nan	nan
1.430000e-01	1.968912e+00	nan	nan
1.440000e-01	1.940470e+00	nan	nan
1.450000e-01	1.900184e+00	nan	nan
1.460000e-01	1.848482e+00	nan	nan
1.470000e-01	1.785902e+00	nan	nan
1.480000e-01	1.713089e+00	nan	nan
1.490000e-01	1.630783e+00	nan	nan
1.500000e-01	1.539816e+00	nan	nan
1.510000e-01	1.441104e+00	nan	nan
1.520000e-01	1.335633e+00	nan	nan
1.530000e-01	1.224456e+00	nan	nan
1.540000e-01	1.108674e+00	nan	nan
1.550000e-01	9.894346e-01	nan	nan
1.560000e-01	8.679130e-01	nan	nan
1.570000e-01	7.453042e-01	nan	nan
1.580000e-01	6.228095e-01	nan	nan
1.590000e-01	5.016253e-01	nan	nan
1.600000e-01	3.829309e-01	nan	nan
1.610000e-01	2.678768e-01	nan	nan
1.620000e-01	1.575732e-01	nan	nan
1.630000e-01	5.307887e-02	nan	nan
1.640000e-01	-4.460911e-02	nan	nan
1.650000e-01	-1.345656e-01	nan	nan
1.660000e-01	-2.159465e-01	nan	nan
1.670000e-01	-2.879968e-01	nan	nan
1.680000e-01	-3.500583e-01	nan	nan
1.690000e-01	-4.015758e-01	nan	nan
1.700000e-01	-4.421025e-01	nan	nan
1.710000e-01	-4.713039e-01	nan	nan
1.720000e-01	-4.889611e-01	nan	nan
1.730000e-01	-4.949721e-01	nan	nan
1.740000e-01	-4.893524e-01	nan	nan
1.750000e-01	-4.722345e-01	nan	nan
1.760000e-01	-4.438653e-01	nan	nan
1.770000e-01	-4.046036e-01	nan	nan
1.780000e-01	-3.549151e-01	nan	nan
1.790000e-01	-2.953672e-01	nan	nan
1.800000e-01	-2.266226e-01	nan	nan
1.810000e-01	-1.494314e-01	nan	nan
1.820000e-01	-6.462333e-02	nan	nan
1.830000e-01	2.690193e-02	nan	nan
1.840000e-01	1.241841e-01	nan	nan
1.850000e-01	2.262129e-01	nan	nan
1.860000e-01	3.319386e-01	nan	nan
1.870000e-01	4.402829e-01	nan	nan
1.880000e-01	5.501505e-01	nan	nan
1.890000e-01	6.604398e-01	nan	nan
1.900000e-01	7.700546e-01	nan	nan
1.910000e-01	8.779145e-01	nan	nan
1.920000e-01	9.829659e-01	nan	nan
1.930000e-01	1.084192e+00	nan	nan
1.940000e-01	1.180623e+00	nan	nan
1.950000e-01	1.271344e+00	nan	nan
1.960000e-01	1.355505e+00	nan	nan
1.970000e-01	1.432328e+00	nan	nan
1.980000e-01	1.501114e+00	nan	nan
1.990000e-01	1.561247e+00	nan	nan
2.000000e-01	1.612205e+00	nan	nan
2.010000e-01	1.653557e+00	nan	nan
2.020000e-01	1.684970e+00	nan	nan
2.030000e-01	1.706214e+00	nan	nan
2.040000e-01	1.717156e+00	nan	nan
2.050000e-01	1.717767e+00	nan	nan
2.060000e-01	1.708121e+00	nan	nan
2.070000e-01	1.688390e+00	nan	nan
2.080000e-01	1.658842e+00	nan	nan
2.090000e-01	1.619843e+00	nan	nan
2.100000e-01	1.571845e+00	nan	nan
2.110000e-01	1.515389e+00	nan	nan
2.120000e-01	1.451093e+00	nan	nan
2.130000e-01	1.379649e+00	nan	nan
2.140000e-01	1.301817e+00	nan	nan
2.150000e-01	1.218414e+00	nan	nan
2.160000e-01	1.130309e+00	nan	nan
2.170000e-01	1.038412e+00	nan	nan
2.180000e-01	9.436675e-01	nan	nan
2.190000e-01	8.470441e-01	nan	nan
2.200000e-01	7.495253e-01	nan	nan
2.210000e-01	6.520999e-01	nan	nan
2.220000e-01	5.557527e-01	nan	nan
2.230000e-01	4.614550e-01	nan	nan
2.240000e-01	3.701552e-01	nan	nan
2.250000e-01	2.827697e-01	nan	nan
2.260000e-01	2.001741e-01	nan	nan
2.270000e-01	1.231947e-01	nan	nan
2.280000e-01	5.260068e-02	nan	nan
2.290000e-01	-1.090328e-02	nan	nan
2.300000e-01	-6.668409e-02	nan	nan
2.310000e-01	-1.141863e-01	nan	nan
2.320000e-01	-1.529374e-01	nan	nan
2.330000e-01	-1.825527e-01	nan	nan
2.340000e-01	-2.027391e-01	nan	nan
2.350000e-01	-2.132980e-01	nan	nan
2.360000e-01	-2.141273e-01	nan	nan
2.370000e-01	-2.052227e-01	nan	nan
2.380000e-01	-1.866775e-01	nan	nan
2.390000e-01	-1.586822e-01	nan	nan
2.400000e-01	-1.215222e-01	nan	nan
2.410000e-01	-7.557546e-02	nan	nan
2.420000e-01	-2.130839e-02	nan	nan
2.430000e-01	4.072871e-02	nan	nan
2.440000e-01	1.099072e-01	nan	nan
2.450000e-01	1.855267e-01	nan	nan
2.460000e-01	2.668221e-01	nan	nan
2.470000e-01	3.529717e-01	nan	nan
2.480000e-01	4.431055e-01	nan	nan
2.490000e-01	5.363147e-01	nan	nan
2.500000e-01	6.316608e-01	nan	nan
2.510000e-01	7.281857e-01	nan	nan
2.520000e-01	8.249218e-01	nan	nan
2.530000e-01	9.209018e-01	nan	nan
2.540000e-01	1.015169e+00	nan	nan
2.550000e-01	1.106788e+00	nan	nan
2.560000e-01	1.194852e+00	nan	nan
2.570000e-01	1.278496e+00	nan	nan
2.580000e-01	1.356901e+00	nan	nan
2.590000e-01	1.429307e+00	nan	nan
2.600000e-01	1.495016e+00	nan	nan
2.610000e-01	1.553404e+00	nan	nan
2.620000e-01	1.603921e+00	nan	nan
2.630000e-01	1.646102e+00	nan	nan
2.640000e-01	1.679568e+00	nan	nan
2.650000e-01	1.704030e+00	nan	nan
2.660000e-01	1.719293e+00	nan	nan
2.670000e-01	1.725255e+00	nan	nan
2.680000e-01	1.721909e+00	nan	nan
2.690000e-01	1.709341e+00	nan	nan
2.700000e-01	1.687732e+00	nan	nan
2.710000e-01	1.657351e+00	nan	nan
2.720000e-01	1.618555e+00	nan	nan
2.730000e-01	1.571783e+00	nan	nan
2.740000e-01	1.517552e+00	nan	nan
2.750000e-01	1.456449e+00	nan	nan
2.760000e-01	1.389128e+00	nan	nan
2.770000e-01	1.316299e+00	nan	nan
2.780000e-01	1.238722e+00	nan	nan
2.790000e-01	1.157201e+00	nan	nan
2.800000e-01	1.072570e+00	nan	nan
2.810000e-01	9.856895e-01	nan	nan
2.820000e-01	8.974336e-01	nan	nan
2.830000e-01	8.086839e-01	nan	nan
2.840000e-01	7.203185e-01	nan	nan
2.850000e-01	6.332043e-01	nan	nan
2.860000e-01	5.481879e-01	nan	nan
2.870000e-01	4.660873e-01	nan	nan
2.880000e-01	3.876842e-01	nan	nan
2.890000e-01	3.137170e-01	nan	nan
2.900000e-01	2.448733e-01	nan	nan
2.910000e-01	1.817840e-01	nan	nan
2.920000e-01	1.250181e-01	nan	nan
2.930000e-01	7.507704e-02	nan	nan
2.940000e-01	3.239124e-02	nan	nan
2.950000e-01	-2.683906e-03	nan	nan
2.960000e-01	-2.987054e-02	nan	nan
2.970000e-01	-4.897042e-02	nan	nan
2.980000e-01	-5.986616e-02	nan	nan
2.990000e-01	-6.252176e-02	nan	nan
3.000000e-01	-5.698236e-02	nan	nan
3.010000e-01	-4.337324e-02	nan	nan
3.020000e-01	-2.189813e-02	nan	nan
3.030000e-01	7.163251e-03	nan	nan
3.040000e-01	4.345829e-02	nan	nan
3.050000e-01	8.656530e-02	nan	nan
3.060000e-01	1.359980e-01	nan	nan
3.070000e-01	1.912104e-01	nan	nan
3.080000e-01	2.516027e-01	nan	nan
3.090000e-01	3.165271e-01	nan	nan
3.100000e-01	3.852944e-01	nan	nan
3.110000e-01	4.571812e-01	nan	nan
3.120000e-01	5.314366e-01	nan	nan
3.130000e-01	6.072904e-01	nan	nan
3.140000e-01	6.839603e-01	nan	nan
3.150000e-01	7.606598e-01	nan	nan
3.160000e-01	8.366061e-01	nan	nan
3.170000e-01	9.110278e-01	nan	nan
3.180000e-01	9.831726e-01	nan	nan
3.190000e-01	1.052314e+00	nan	nan
3.200000e-01	1.117761e+00	nan	nan
3.210000e-01	1.178860e+00	nan	nan
3.220000e-01	1.235006e+00	nan	nan
3.230000e-01	1.285647e+00	nan	nan
3.240000e-01	1.330287e+00	nan	nan
3.250000e-01	1.368494e+00	nan	nan
3.260000e-01	1.399902e+00	nan	nan
3.270000e-01	1.424216e+00	nan	nan
3.280000e-01	1.441212e+00	nan	nan
3.290000e-01	1.450742e+00	nan	nan
3.300000e-01	1.452733e+00	nan	nan
3.310000e-01	1.447189e+00	nan	nan
3.320000e-01	1.434190e+00	nan	nan
3.330000e-01	1.413888e+00	nan	nan
3.340000e-01	1.386511e+00	nan	nan
3.350000e-01	1.352355e+00	nan	nan
3.360000e-01	1.311784e+00	nan	nan
3.370000e-01	1.265223e+00	nan	nan
3.380000e-01	1.213156e+00	nan	nan
3.390000e-01	1.156119e+00	nan	nan
3.400000e-01	1.094696e+00	nan	nan
3.410000e-01	1.029510e+00	nan	nan
3.420000e-01	9.612199e-01	nan	nan
3.430000e-01	8.905110e-01	nan	nan
3.440000e-01	8.180890e-01	nan	nan
3.450000e-01	7.446724e-01	nan	nan
3.460000e-01	6.709857e-01	nan	nan
3.470000e-01	5.977517e-01	nan	nan
3.480000e-01	5.256845e-01	nan	nan
3.490000e-01	4.554825e-01	nan	nan
3.500000e-01	3.878216e-01	nan	nan
3.510000e-01	3.233486e-01	nan	nan
